,,,,,
Inf,Rec,Club,División,Juega en,Nombre
Juv,- - -,Atlético Pamplona,Primera División española,ESP,- -
Juv,- - -,Cartagena,Segunda División española,ESP,- -
Seg,- - -,Granada,Primera División española,ESP,- -
Ret,- - -,Lleida,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Calahorra,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,A. Madrid,Primera División española,ESP,- -
,- - -,R. Madrid,Primera División española,ESP,- -
,- - -,San Fernando,Primera División Federación B española,ESP,- -
Juv,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Vigo B,Primera División Federación A española,ESP,- -
,- - -,San Roque de Lepe,Segunda División Federación Grupo 4 española,ESP,- -
Ret,- - -,Pontevedra,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Zaragoza B,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Espanyol B,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Real Hispalis,Primera División española,ESP,- -
,- - -,A. Bilbao,Primera División española,ESP,- -
,- - -,Sestao,Primera División Federación A española,ESP,- -
,- - -,La Unión At.,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,R. Madrid,Primera División española,ESP,- -
Juv,- - -,Real Hispalis,Primera División española,ESP,- -
,- - -,G. Torrelavega,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Formentera,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,R. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Racing Cartagena,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Unionistas,Primera División Federación A española,ESP,- -
Opc,- - -,Fuenlabrada,Primera División Federación A española,ESP,- -
,- - -,R. Madrid B,Primera División Federación B española,ESP,- -
,- - -,R. Santander,Segunda División española,ESP,- -
,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,Alcorcón,Segunda División española,ESP,- -
,- - -,Europa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Torrent,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Murcia,Primera División Federación B española,ESP,- -
Opc,- - -,San Fernando,Primera División Federación B española,ESP,- -
Ctr,- - -,Cayón,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Alzira,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Calahorra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,U. Adarve,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Valencia B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Real Irún,Primera División Federación A española,ESP,- -
Seg,- - -,Torrent,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Granada,Primera División española,ESP,- -
,- - -,Espanyol,Segunda División española,ESP,- -
Opc,- - -,San Fernando,Primera División Federación B española,ESP,- -
,- - -,Navalcarnero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Penya Independent,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Montijo,Segunda División Federación Grupo 5 española,ESP,- -
Ret,- - -,Izarra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Real San Sebastián B,Primera División Federación A española,ESP,- -
Juv,- - -,Coruña,Primera División Federación A española,ESP,- -
,- - -,Mensajero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Águilas,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Málaga,Primera División Federación B española,ESP,- -
,- - -,Real Hispalis,Primera División española,ESP,- -
Opc,- - -,S.D. Logroñés,Primera División Federación A española,ESP,- -
,- - -,Andratx,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Real San Sebastián,Primera División española,ESP,- -
,- - -,Logroñés,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Leganés,Segunda División española,ESP,- -
Pet,- - -,Granada B,Primera División Federación B española,ESP,- -
Juv,- - -,Mallorca,Primera División española,ESP,- -
,- - -,Calahorra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Cayón,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Zaragoza,Segunda División española,ESP,- -
Ofer,- - -,Real Irún,Primera División Federación A española,ESP,- -
,- - -,Racing Cartagena,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Alzira,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,La Nucía,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Villarreal,Primera División española,ESP,- -
Seg,- - -,Valladolid,Segunda División española,ESP,- -
Juv,- - -,Tenerife,Segunda División española,ESP,- -
,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,Alzira,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,S.D. Logroñés,Primera División Federación A española,ESP,- -
Seg,- - -,Torrent,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,C.D. Estepona,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,U. Murcia,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Cayón,Segunda División Federación Grupo 1 española,ESP,- -
Seg,- - -,Sevilla,Primera División española,ESP,- -
,- - -,Melilla,Primera División Federación B española,ESP,- -
,- - -,Cartagena,Segunda División española,ESP,- -
Juv,- - -,Lugo,Primera División Federación A española,ESP,- -
Juv,- - -,Lugo,Primera División Federación A española,ESP,- -
,- - -,La Unión At.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Ciudad Real,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Yeclano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Marino,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,R. Santander,Segunda División española,ESP,- -
,- - -,Sta. Eulalia,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,La Nucía,Segunda División Federación Grupo 3 española,ESP,- -
Ret,- - -,A. Sagunto,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Elche,Segunda División española,ESP,- -
,- - -,Llerenense,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Terrassa,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Tarazona,Primera División Federación A española,ESP,- -
Seg,- - -,Espanyol,Segunda División española,ESP,- -
Juv,- - -,Girona,Primera División española,ESP,- -
Seg,- - -,Leonesa,Primera División Federación A española,ESP,- -
,- - -,Cádiz,Primera División española,ESP,- -
,- - -,G. Torrelavega,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Badalona Fut,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Burgos,Segunda División española,ESP,- -
,- - -,Compostela,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Mallorca,Primera División española,ESP,- -
,- - -,Valladolid,Segunda División española,ESP,- -
Seg,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Sanluqueño,Primera División Federación B española,ESP,- -
,- - -,Covadonga,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,A. Madrid,Primera División española,ESP,- -
Juv,- - -,Fuenlabrada,Primera División Federación A española,ESP,- -
,- - -,Ibiza,Primera División Federación B española,ESP,- -
,- - -,Valladolid B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Tarazona,Primera División Federación A española,ESP,- -
Seg,- - -,Cádiz,Primera División española,ESP,- -
Juv,- - -,Real San Sebastián,Primera División española,ESP,- -
,- - -,Ursaria,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Gernika,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Elche,Segunda División española,ESP,- -
,- - -,A. Bilbao,Primera División española,ESP,- -
,- - -,S. Gijón,Segunda División española,ESP,- -
Juv,- - -,Alavés,Primera División española,ESP,- -
Juv,- - -,Oviedo,Segunda División española,ESP,- -
Ced,- - -,San Fernando,Primera División Federación B española,ESP,- -
,- - -,U.D. San Fernando,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Segoviana,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Numantia,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Yeclano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Teruel,Primera División Federación A española,ESP,- -
Fic,- - -,Atlético Pamplona B,Primera División Federación A española,ESP,- -
,- - -,Navalcarnero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Marino,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Mérida,Primera División Federación B española,ESP,- -
,- - -,Las Palmas,Primera División española,ESP,- -
,- - -,Málaga,Primera División Federación B española,ESP,- -
,- - -,R. Santander,Segunda División española,ESP,- -
Juv,- - -,Levante,Segunda División española,ESP,- -
Seg,- - -,Granada,Primera División española,ESP,- -
,- - -,Orihuela,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Cartagena B,Segunda División Federación Grupo 4 española,ESP,- -
Seg,- - -,Alavés B,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Fuenlabrada,Primera División Federación A española,ESP,- -
Juv,- - -,R. Majadahonda,Primera División Federación A española,ESP,- -
,- - -,Tarazona,Primera División Federación A española,ESP,- -
,- - -,Arandina,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Málaga,Primera División Federación B española,ESP,- -
,- - -,Linense,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Cayón,Segunda División Federación Grupo 1 española,ESP,- -
Des,- - -,R. Santander B,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,A. Getxo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Tarragona,Primera División Federación A española,ESP,- -
Juv,- - -,Egüés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Atlético Pamplona,Primera División española,ESP,- -
Ret,- - -,Linense,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Mensajero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Valencia B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Águilas,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Guadalajara,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Eldense,Segunda División española,ESP,- -
Pet,- - -,Getafe B,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,La Unión At.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Guadalajara,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Las Palmas,Primera División española,ESP,- -
,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Barakaldo,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Getafe,Primera División española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,U. Murcia,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Atlético Pamplona,Primera División española,ESP,- -
,- - -,Villalbés,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Las Palmas,Primera División española,ESP,- -
,- - -,Guijuelo,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Real Hispalis,Primera División española,ESP,- -
,- - -,Compostela,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,Alcoyano,Primera División Federación B española,ESP,- -
,- - -,Calahorra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Algeciras,Primera División Federación B española,ESP,- -
,- - -,Covadonga,Segunda División Federación Grupo 1 española,ESP,- -
Ret,- - -,Tenerife,Segunda División española,ESP,- -
Seg,- - -,Mirandés,Segunda División española,ESP,- -
Juv,- - -,Atlético Pamplona,Primera División española,ESP,- -
,- - -,Ursaria,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Ponferrada,Primera División Federación A española,ESP,- -
,- - -,Cayón,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,U. Adarve,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Ourense C.F.,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Sestao,Primera División Federación A española,ESP,- -
,- - -,Córdoba,Primera División Federación B española,ESP,- -
Juv,- - -,Talavera,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Albacete,Segunda División española,ESP,- -
,- - -,La Nucía,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Real Hispalis B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Tarragona,Primera División Federación A española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Girona,Primera División española,ESP,- -
,- - -,Algeciras,Primera División Federación B española,ESP,- -
Juv,- - -,U. Adarve,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Espanyol B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Cacereño,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,R. Majadahonda,Primera División Federación A española,ESP,- -
Juv,- - -,Calahorra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Logroñés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Utebo,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Girona,Primera División española,ESP,- -
,- - -,Yeclano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Lleida,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Cartagena,Segunda División española,ESP,- -
,- - -,Egüés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,A. Madrid,Primera División española,ESP,- -
,- - -,Sanse,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,R. Santander,Segunda División española,ESP,- -
,- - -,G. Torrelavega,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Vélez C.F.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,La Nucía,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Burgos,Segunda División española,ESP,- -
Les,- - -,A. Madrid,Primera División española,ESP,- -
,- - -,Girona,Primera División española,ESP,- -
,- - -,A.D. San Juan,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,F.C. Andorra,Segunda División española,ESP,- -
,- - -,Logroñés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Montijo,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Espanyol,Segunda División española,ESP,- -
,- - -,Penya Independent,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Langreo,Segunda División Federación Grupo 1 española,ESP,- -
Seg,- - -,Zaragoza,Segunda División española,ESP,- -
Juv,- - -,Almería,Primera División española,ESP,- -
Les,- - -,R. Madrid,Primera División española,ESP,- -
,- - -,Alavés,Primera División española,ESP,- -
,- - -,Segoviana,Segunda División Federación Grupo 5 española,ESP,- -
Les,- - -,Logroñés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Amorebieta,Segunda División española,ESP,- -
Juv,- - -,Vallecano,Primera División española,ESP,- -
Juv,- - -,Cádiz,Primera División española,ESP,- -
Juv,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Badalona Fut,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Ponferrada,Primera División Federación A española,ESP,- -
,- - -,Guadalajara,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Atlético Paso,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Melilla,Primera División Federación B española,ESP,- -
,- - -,Calahorra,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Yeclano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Real Hispalis B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Avilés,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Espanyol,Segunda División española,ESP,- -
Juv,- - -,Tarragona,Primera División Federación A española,ESP,- -
Opc,- - -,Ferrol,Segunda División española,ESP,- -
,- - -,Oviedo,Segunda División española,ESP,- -
,- - -,Elche,Segunda División española,ESP,- -
Seg,- - -,Huesca,Segunda División española,ESP,- -
,- - -,U.D. San Fernando,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Sant Andreu,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Sanse,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,R. Majadahonda,Primera División Federación A española,ESP,- -
Juv,- - -,Zamora,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Unionistas,Primera División Federación A española,ESP,- -
Juv,- - -,Albacete,Segunda División española,ESP,- -
,- - -,San Roque de Lepe,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Alzira,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Leganés,Segunda División española,ESP,- -
,- - -,Egüés,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Alcoyano,Primera División Federación B española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
Opc,- - -,Melilla,Primera División Federación B española,ESP,- -
Juv,- - -,Valladolid,Segunda División española,ESP,- -
,- - -,U. Murcia,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Langreo,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Ceuta,Primera División Federación B española,ESP,- -
,- - -,Valencia B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Cacereño,Segunda División Federación Grupo 5 española,ESP,- -
Ctr,- - -,Arandina,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Avilés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,San Roque de Lepe,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Unionistas,Primera División Federación A española,ESP,- -
,- - -,Espanyol B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Ferrol,Segunda División española,ESP,- -
Seg,- - -,Huelva,Primera División Federación B española,ESP,- -
,- - -,Sant Andreu,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Tarazona,Primera División Federación A española,ESP,- -
,- - -,Espanyol,Segunda División española,ESP,- -
,- - -,Europa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Zaragoza B,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Oviedo,Segunda División española,ESP,- -
Juv,- - -,Amorebieta,Segunda División española,ESP,- -
,- - -,San Roque de Lepe,Segunda División Federación Grupo 4 española,ESP,- -
Ret,- - -,Coruña,Primera División Federación A española,ESP,- -
Les,- - -,Náxara,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,A. Baleares,Primera División Federación B española,ESP,- -
Int,- - -,Albacete,Segunda División española,ESP,- -
,- - -,Racing Cartagena,Segunda División Federación Grupo 4 española,ESP,- -
Les,- - -,Levante,Segunda División española,ESP,- -
,- - -,Ponferrada,Primera División Federación A española,ESP,- -
Seg,- - -,Amorebieta,Segunda División española,ESP,- -
Juv,- - -,F.C. Andorra,Segunda División española,ESP,- -
Juv,- - -,Mallorca,Primera División española,ESP,- -
,- - -,Melilla,Primera División Federación B española,ESP,- -
,- - -,Manresa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Huesca,Segunda División española,ESP,- -
Trn,- - -,Burgos,Segunda División española,ESP,- -
,- - -,Teruel,Primera División Federación A española,ESP,- -
,- - -,Tarazona,Primera División Federación A española,ESP,- -
,- - -,Avilés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,El Palo,Segunda División Federación Grupo 4 española,ESP,- -
Seg,- - -,Villanovense,Segunda División Federación Grupo 5 española,ESP,- -
Les,- - -,A. Getxo,Segunda División Federación Grupo 2 española,ESP,- -
Int,- - -,Real San Sebastián,Primera División española,ESP,- -
,- - -,Navalcarnero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Albacete,Segunda División española,ESP,- -
,- - -,Segoviana,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Real Hispalis,Primera División española,ESP,- -
,- - -,Yeclano,Segunda División Federación Grupo 4 española,ESP,- -
Seg,- - -,Coruña B,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Burgos,Segunda División española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Alavés,Primera División española,ESP,- -
Seg,- - -,Eibar,Segunda División española,ESP,- -
,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,Valencia B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Illescas,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Formentera,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Alcorcón,Segunda División española,ESP,- -
Opc,- - -,Cornellà,Primera División Federación A española,ESP,- -
Int,- - -,A. Bilbao,Primera División española,ESP,- -
,- - -,Zaragoza,Segunda División española,ESP,- -
,- - -,Las Palmas,Primera División española,ESP,- -
Seg,- - -,Sevilla B,Segunda División Federación Grupo 4 española,ESP,- -
Seg,- - -,Tenerife,Segunda División española,ESP,- -
,- - -,Orihuela,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Murcia,Primera División Federación B española,ESP,- -
,- - -,Atlético Paso,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Melilla,Primera División Federación B española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Alavés,Primera División española,ESP,- -
,- - -,Unionistas,Primera División Federación A española,ESP,- -
,- - -,Terrassa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Eldense,Segunda División española,ESP,- -
Juv,- - -,Barcelona,Primera División española,ESP,- -
,- - -,Girona,Primera División española,ESP,- -
Seg,- - -,Cádiz,Primera División española,ESP,- -
,- - -,Zamora,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Navalcarnero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Calahorra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Atlético Paso,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Ibiza,Primera División Federación B española,ESP,- -
,- - -,Alavés,Primera División española,ESP,- -
Pet,- - -,Zaragoza B,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Cartagena,Segunda División española,ESP,- -
,- - -,F.C. Andorra,Segunda División española,ESP,- -
Juv,- - -,Tarragona,Primera División Federación A española,ESP,- -
,- - -,Coruña,Primera División Federación A española,ESP,- -
,- - -,Calahorra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Covadonga,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Mallorca,Primera División española,ESP,- -
,- - -,Águilas,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Alzira,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Intercity,Primera División Federación B española,ESP,- -
Juv,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Numantia,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Manresa,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Zamora,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Girona,Primera División española,ESP,- -
,- - -,R. Santander B,Segunda División Federación Grupo 1 española,ESP,- -
Ofer,- - -,Leganés,Segunda División española,ESP,- -
,- - -,Cornellà,Primera División Federación A española,ESP,- -
Seg,- - -,Coruña,Primera División Federación A española,ESP,- -
Juv,- - -,Gernika,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Getafe,Primera División española,ESP,- -
Juv,- - -,Coruña,Primera División Federación A española,ESP,- -
,- - -,Tenerife,Segunda División española,ESP,- -
,- - -,Eibar,Segunda División española,ESP,- -
Int,- - -,Villarreal,Primera División española,ESP,- -
,- - -,Mutilvera,Segunda División Federación Grupo 2 española,ESP,- -
Des,- - -,Real Hispalis B,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Ferrol,Segunda División española,ESP,- -
Seg,- - -,Vigo,Primera División española,ESP,- -
,- - -,Fuenlabrada,Primera División Federación A española,ESP,- -
,- - -,Marbella,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Burgos,Segunda División española,ESP,- -
,- - -,Sabadell,Primera División Federación A española,ESP,- -
,- - -,Compostela,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Lleida,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,R. Santander,Segunda División española,ESP,- -
,- - -,U. Adarve,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,G. Torrelavega,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,A. Madrid,Primera División española,ESP,- -
Fic,- - -,Sevilla,Primera División española,ESP,- -
Opc,- - -,Antequera,Primera División Federación B española,ESP,- -
,- - -,Pontevedra,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Sevilla,Primera División española,ESP,- -
Int,- - -,Sevilla,Primera División española,ESP,- -
,- - -,Sevilla,Primera División española,ESP,- -
,- - -,Tenerife,Segunda División española,ESP,- -
,- - -,Antequera,Primera División Federación B española,ESP,- -
,- - -,A. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Atlético Pamplona B,Primera División Federación A española,ESP,- -
Int,- - -,Vigo,Primera División española,ESP,- -
Juv,- - -,Almería,Primera División española,ESP,- -
Les,- - -,Villarreal,Primera División española,ESP,- -
,- - -,Fuenlabrada,Primera División Federación A española,ESP,- -
Les,- - -,Eibar,Segunda División española,ESP,- -
,- - -,Ceuta,Primera División Federación B española,ESP,- -
Int,- - -,Vigo,Primera División española,ESP,- -
,- - -,Girona,Primera División española,ESP,- -
,- - -,Las Palmas,Primera División española,ESP,- -
,- - -,Coruña B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Arenteiro,Primera División Federación A española,ESP,- -
,- - -,Melilla,Primera División Federación B española,ESP,- -
,- - -,Villarreal,Primera División española,ESP,- -
,- - -,Utebo,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Logroñés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Covadonga,Segunda División Federación Grupo 1 española,ESP,- -
Seg,- - -,Almería,Primera División española,ESP,- -
Seg,- - -,Oviedo,Segunda División española,ESP,- -
,- - -,R. Majadahonda,Primera División Federación A española,ESP,- -
,- - -,Barbastro,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Espanyol,Segunda División española,ESP,- -
,- - -,R. Madrid B,Primera División Federación B española,ESP,- -
Seg,- - -,Sevilla,Primera División española,ESP,- -
,- - -,Teruel,Primera División Federación A española,ESP,- -
,- - -,Atlético Pamplona,Primera División española,ESP,- -
,- - -,Murcia,Primera División Federación B española,ESP,- -
,- - -,Vigo,Primera División española,ESP,- -
Juv,- - -,H. Alicante,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Valladolid,Segunda División española,ESP,- -
Ret,- - -,Talavera,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Elche,Segunda División española,ESP,- -
,- - -,Lugo,Primera División Federación A española,ESP,- -
Ctr,- - -,Egüés,Segunda División Federación Grupo 2 española,ESP,- -
Trn,- - -,Mirandés,Segunda División española,ESP,- -
Seg,- - -,Barcelona B,Primera División Federación A española,ESP,- -
,- - -,Orihuela,Segunda División Federación Grupo 4 española,ESP,- -
Seg,- - -,Teruel,Primera División Federación A española,ESP,- -
,- - -,A. Madrid,Primera División española,ESP,- -
Seg,- - -,Numantia,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Mensajero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Montijo,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Eldense,Segunda División española,ESP,- -
Int,- - -,Vigo,Primera División española,ESP,- -
Juv,- - -,Vigo,Primera División española,ESP,- -
Les,- - -,Oviedo,Segunda División española,ESP,- -
,- - -,Valladolid,Segunda División española,ESP,- -
Juv,- - -,Eldense,Segunda División española,ESP,- -
