,,,,,,,,,,,
Inf,Rec,Nombre,Final,Sueldo,Sueldo máx.,Mín PS,Representante,Valor de traspaso,Precio Mín,Precio Máx,Cláus. Resc.
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,Sin datos,-,-,145m €
,- - -,- -,30/6/2026,22.500 € p/m,N/D,N/D,Antonio Valiente,Sin datos,-,-,"16,5M €"
,- - -,- -,30/6/2026,1.300 € p/m,N/D,N/D,-,40m € - 375m €,-,-,150m €
,- - -,- -,30/6/2024,900 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,76m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,5m € - 50m €,-,-,150m €
,- - -,- -,30/6/2025,6.500 € p/m,N/D,N/D,Rodrigo Casanova,"170m € - 1,7M €",-,-,775m €
,- - -,- -,30/6/2026,6.500 € p/m,N/D,N/D,-,18m € - 180m €,-,-,375m €
Juv,- - -,- -,30/6/2027,275 € p/m,N/D,N/D,-,Sin datos,-,-,135m €
,- - -,- -,30/6/2025,4.800 € p/m,N/D,N/D,Paulo Rebocho,5m € - 50m €,-,-,125m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,73m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,"1,5m € - 16m €",-,-,98m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,82m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,30m € - 300m €,-,-,160m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,57m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,1m € - 10m €,-,-,115m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,-,Sin datos,-,-,-
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,14m € - 140m €,-,-,77m €
,- - -,- -,30/6/2025,4.700 € p/m,N/D,N/D,-,6m € - 55m €,-,-,140m €
,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2025,750 € p/m,N/D,N/D,-,26m € - 85m €,-,-,-
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,0 € - 110m €,-,-,120m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Antonio José Albarrán,Sin datos,-,-,-
,- - -,- -,30/6/2025,2.100 € p/m,N/D,N/D,Gustav Eklund,65m € - 650m €,-,-,250m €
Ctr,- - -,- -,-,N/D,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
Seg,- - -,- -,30/6/2025,2.500 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2026,2.000 € p/m,N/D,N/D,Juan Antonio Yubero,Sin datos,-,-,10M €
Seg,- - -,- -,30/6/2026,1.300 € p/m,N/D,N/D,-,14m € - 130m €,-,-,135m €
Ret,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,"8,5m €"
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,2m € - 20m €,-,-,72m €
,- - -,- -,30/6/2024,800 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,1.600 € p/m,N/D,N/D,-,1m € - 10m €,-,-,275m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0 € - 35m €,-,-,97m €
,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2025,900 € p/m,N/D,N/D,-,Sin datos,-,-,120m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,Aina Andreu,0€,-,-,86m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,José Antonio Corbacho,Sin datos,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0 € - 40m €,-,-,84m €
,- - -,- -,30/6/2026,5.500 € p/m,N/D,N/D,Pablo Fernández,Sin datos,-,-,"1,1M €"
,- - -,- -,30/6/2026,1.700 € p/m,N/D,N/D,Antonio Valiente,275m € - 900m €,-,-,475m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,33m €
,- - -,- -,30/6/2024,825 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,83m €
,- - -,- -,30/6/2026,4.000 € p/m,N/D,N/D,Xavi Aguirre,75m € - 240m €,-,-,190m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,"2,5m € - 22m €",-,-,65m €
,- - -,- -,30/6/2025,1.800 € p/m,N/D,N/D,-,14m € - 130m €,-,-,99m €
,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,750 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,"4,5m € - 45m €",-,-,200m €
,- - -,- -,30/6/2027,875 € p/m,N/D,N/D,Antonio Valiente,Sin datos,-,-,245m €
,- - -,- -,30/6/2025,8.250 € p/m,N/D,N/D,-,0 € - 110m €,-,-,68m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,65m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,77m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,3m € - 30m €,-,-,60m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,85m €
Seg,- - -,- -,30/6/2026,6.500 € p/m,N/D,N/D,-,70m € - 700m €,-,-,275m €
,- - -,- -,30/6/2024,750 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,30m € - 100m €,-,-,135m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,99m €
,- - -,- -,30/6/2026,1.500 € p/m,N/D,N/D,Juan Antonio Yubero,Sin datos,-,-,375m €
,- - -,- -,30/6/2026,2.000 € p/m,N/D,N/D,-,Sin datos,-,-,10M €
,- - -,- -,30/6/2025,750 € p/m,N/D,N/D,-,0 € - 80m €,-,-,-
,- - -,- -,30/6/2025,3.100 € p/m,N/D,N/D,-,9m € - 85m €,-,-,155m €
Pet,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,96m €
,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,12m € - 110m €,-,-,61m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,72m €
,- - -,- -,30/6/2026,2.200 € p/m,N/D,N/D,-,100m € - 325m €,-,-,195m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,200m €
,- - -,- -,30/6/2025,2.000 € p/m,N/D,N/D,-,45m € - 150m €,-,-,105m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,-,Sin datos,-,-,-
Pet,- - -,- -,30/6/2024,1.400 € p/m,N/D,N/D,-,"3,5m € - 35m €",-,-,200m €
,- - -,- -,30/6/2026,1.300 € p/m,N/D,N/D,-,20m € - 200m €,-,-,68m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,Antonio Valiente,3m € - 30m €,-,-,72m €
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,Antonio Valiente,40m € - 375m €,-,-,"1,3M €"
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0 € - 30m €,-,-,105m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,165m €
,- - -,- -,30/6/2025,3.400 € p/m,N/D,N/D,-,2m € - 22m €,-,-,99m €
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,14m € - 140m €,-,-,135m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,José Antonio Corbacho,Sin datos,-,-,-
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,16m € - 160m €,-,-,130m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Ramón Siles,Sin datos,-,-,-
Seg,- - -,- -,30/6/2026,6.500 € p/m,N/D,N/D,-,14m € - 140m €,-,-,300m €
,- - -,- -,30/6/2025,1.500 € p/m,N/D,N/D,-,65m € - 210m €,-,-,125m €
,- - -,- -,30/6/2025,2.800 € p/m,N/D,N/D,-,22m € - 220m €,-,-,165m €
,- - -,- -,30/6/2026,13.000 € p/m,N/D,N/D,-,"4,5m € - 45m €",-,-,165m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Pablo Fernández,Sin datos,-,-,-
,- - -,- -,30/6/2024,750 € p/m,N/D,N/D,-,0€,-,-,-
Ced,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0 € - 65m €,-,-,145m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,12m € - 35m €,-,-,155m €
Seg,- - -,- -,30/6/2026,7.500 € p/m,N/D,N/D,Humberto Guijarro,60m € - 600m €,-,-,-
,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,12m € - 130m €,-,-,84m €
,- - -,- -,30/6/2026,3.800 € p/m,N/D,N/D,Quim Guillén,80m € - 800m €,-,-,300m €
,- - -,- -,30/6/2026,4.200 € p/m,N/D,N/D,Dolors Acevedo,Sin datos,-,-,375m €
,- - -,- -,30/6/2027,1.300 € p/m,N/D,N/D,Juan Antonio Yubero,Sin datos,-,-,375m €
,- - -,- -,31/12/2024,3.900 € p/m,N/D,N/D,Rodrigo Casanova,0 € - 14m €,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0 € - 60m €,-,-,155m €
,- - -,- -,30/6/2026,1.900 € p/m,N/D,N/D,-,4m € - 40m €,-,-,97m €
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,55m € - 180m €,-,-,95m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,73m €
,- - -,- -,30/6/2026,3.400 € p/m,N/D,N/D,Juan Antonio Yubero,16m € - 150m €,-,-,205m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,-,Sin datos,-,-,-
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Antonio Marcén,Sin datos,-,-,-
,- - -,- -,30/6/2025,1.400 € p/m,N/D,N/D,-,6m € - 60m €,-,-,105m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Santiago Berrocal,850m € - 2M €,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,81m €
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,Sin datos,-,-,165m €
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,Sin datos,-,-,130m €
,- - -,- -,30/6/2026,2.000 € p/m,N/D,N/D,-,Sin datos,-,-,10M €
,- - -,- -,30/6/2026,3.500 € p/m,N/D,N/D,Juan Antonio Yubero,Sin datos,-,-,50M €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,20m € - 60m €,-,-,72m €
,- - -,- -,30/6/2025,1.500 € p/m,N/D,N/D,-,Sin datos,-,-,20M €
,- - -,- -,30/6/2024,850 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2025,825 € p/m,N/D,N/D,-,0 € - 80m €,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,77m €
Juv,- - -,- -,30/6/2027,275 € p/m,N/D,N/D,-,Sin datos,-,-,650m €
Les,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,79m €
,- - -,- -,30/6/2025,1.500 € p/m,N/D,N/D,-,14m € - 150m €,-,-,105m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,-,Sin datos,-,-,-
Ctr,- - -,- -,-,N/D,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2025,6.500 € p/m,N/D,N/D,-,0 € - 16m €,-,-,600m €
,- - -,- -,30/6/2026,4.600 € p/m,N/D,N/D,-,Sin datos,-,-,700m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,66m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Marc Montalbán,Sin datos,-,-,-
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,Sin datos,-,-,180m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Alfredo Ortí,Sin datos,-,-,-
,- - -,- -,30/6/2025,13.250 € p/m,N/D,N/D,Javier Llaneza,28m € - 275m €,-,-,195m €
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,8m € - 75m €,-,-,76m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,175m €
,- - -,- -,30/6/2024,750 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2026,1.300 € p/m,N/D,N/D,Antonio José Albarrán,"130m € - 1,3M €",-,-,30M €
,- - -,- -,30/6/2026,1.300 € p/m,N/D,N/D,-,"4,5m € - 45m €",-,-,110m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0 € - 70m €,-,-,72m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,68m €
,- - -,- -,30/6/2024,1.600 € p/m,N/D,N/D,-,100m € - 1M €,-,-,425m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,57m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Daniel Martín García,Sin datos,-,-,-
,- - -,- -,30/6/2024,775 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2026,3.300 € p/m,N/D,N/D,-,14m € - 140m €,-,-,60m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,Rodrigo Casanova,0€,-,-,86m €
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,David Hervás,"1,5m € - 14m €",-,-,69m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,18m € - 170m €,-,-,100m €
,- - -,- -,30/6/2025,2.000 € p/m,N/D,N/D,-,70m € - 230m €,-,-,135m €
,- - -,- -,30/6/2025,4.200 € p/m,N/D,N/D,-,4m € - 40m €,-,-,120m €
,- - -,- -,30/6/2025,1.800 € p/m,N/D,N/D,-,14m € - 140m €,-,-,100m €
Les,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,-,0€,-,-,225m €
,- - -,- -,30/6/2025,6.500 € p/m,N/D,N/D,-,"500 € - 4,5m €",-,-,115m €
Ctr,- - -,- -,-,N/D,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,76m €
,- - -,- -,30/6/2025,3.500 € p/m,N/D,N/D,Julio César Rodríguez,Sin datos,-,-,195m €
Les,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Dolores Muñiz,Sin datos,-,-,-
,- - -,- -,30/6/2024,2.500 € p/m,N/D,N/D,-,0€,-,-,110m €
,- - -,- -,30/6/2025,1.700 € p/m,N/D,N/D,-,0 € - 70m €,-,-,-
,- - -,- -,30/6/2024,600 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,2m € - 6m €,-,-,135m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,-,Sin datos,-,-,-
Seg,- - -,- -,-,N/D,N/D,N/D,-,0€,-,-,-
Juv,- - -,- -,30/6/2026,275 € p/m,N/D,N/D,-,0 € - 95m €,-,-,105m €
,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
Ced,- - -,- -,30/6/2025,2.000 € p/m,N/D,N/D,-,65m € - 210m €,-,-,115m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,130m €
,- - -,- -,30/6/2026,1.300 € p/m,N/D,N/D,José Luis Ramos,Sin datos,-,-,325m €
,- - -,- -,30/6/2027,1.300 € p/m,N/D,N/D,-,18m € - 190m €,-,-,190m €
,- - -,- -,30/6/2024,2.000 € p/m,N/D,N/D,-,0€,-,-,75m €
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,26m € - 250m €,-,-,150m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,70m € - 230m €,-,-,99m €
,- - -,- -,30/6/2025,4.900 € p/m,N/D,N/D,-,40m € - 400m €,-,-,205m €
,- - -,- -,30/6/2026,2.700 € p/m,N/D,N/D,-,0 € - 100m €,-,-,85m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,57m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Antonio Vargas,Sin datos,-,-,-
Juv,- - -,- -,30/6/2026,275 € p/m,N/D,N/D,-,Sin datos,-,-,105m €
Ret,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,29m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,300m €
,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,65m €
,- - -,- -,30/6/2025,8.250 € p/m,N/D,N/D,Julio César Rodríguez,"800m € - 1,9M €",-,-,"1,1M €"
Juv,- - -,- -,30/6/2027,275 € p/m,N/D,N/D,-,Sin datos,-,-,110m €
,- - -,- -,30/6/2025,2.400 € p/m,N/D,N/D,-,0€,-,-,"7,5m €"
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0 € - 45m €,-,-,105m €
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,"2,5m € - 26m €",-,-,72m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,8m € - 80m €,-,-,150m €
Ctr,- - -,- -,-,N/D,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2026,13.000 € p/m,N/D,N/D,-,75m € - 240m €,-,-,180m €
Juv,- - -,- -,30/6/2026,275 € p/m,N/D,N/D,-,Sin datos,-,-,84m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,76m €
,- - -,- -,30/6/2025,1.600 € p/m,N/D,N/D,-,Sin datos,-,-,96m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Dolors Acevedo,Sin datos,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,325m €
,- - -,- -,30/6/2025,2.300 € p/m,N/D,N/D,-,40m € - 140m €,-,-,110m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,65m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Dolors Acevedo,Sin datos,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,63m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0 € - 80m €,-,-,60m €
Fic,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,155m €
Juv,- - -,- -,30/6/2026,275 € p/m,N/D,N/D,-,Sin datos,-,-,86m €
Ret,- - -,- -,30/6/2024,850 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,57m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,72m €
Les,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
Seg,- - -,- -,30/6/2024,800 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2025,700 € p/m,N/D,N/D,-,0 € - 70m €,-,-,-
Les,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,24m € - 75m €,-,-,145m €
,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,14m € - 130m €,-,-,105m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,57m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,72m €
,- - -,- -,30/6/2024,800 € p/m,N/D,N/D,-,0€,-,-,-
Juv,- - -,- -,30/6/2026,275 € p/m,N/D,N/D,-,Sin datos,-,-,89m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,30m € - 95m €,-,-,66m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,12m € - 35m €,-,-,105m €
Juv,- - -,- -,30/6/2025,275 € p/m,N/D,N/D,-,Sin datos,-,-,81m €
,- - -,- -,30/6/2025,1.500 € p/m,N/D,N/D,-,8m € - 85m €,-,-,140m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,65m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,68m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Rodrigo Casanova,Sin datos,-,-,-
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Edu Dieste,Sin datos,-,-,-
,- - -,- -,30/6/2025,625 € p/m,N/D,N/D,-,2m € - 20m €,-,-,80m €
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,12m € - 110m €,-,-,115m €
,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2026,3.400 € p/m,N/D,N/D,Juan Antonio Yubero,"150m € - 1,5M €",-,-,525m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,26m € - 80m €,-,-,65m €
,- - -,- -,30/6/2025,1.600 € p/m,N/D,N/D,-,8m € - 80m €,-,-,150m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,115m €
,- - -,- -,30/6/2025,1.800 € p/m,N/D,N/D,-,75m € - 240m €,-,-,125m €
,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
Pet,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,150m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0 € - 90m €,-,-,57m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,50m €
,- - -,- -,30/6/2025,775 € p/m,N/D,N/D,-,26m € - 80m €,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,Antonio Valiente,0 € - 1m €,-,-,400m €
,- - -,- -,30/6/2026,4.700 € p/m,N/D,N/D,Gabri Villar,Sin datos,-,-,525m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0 € - 35m €,-,-,89m €
Juv,- - -,- -,30/6/2027,275 € p/m,N/D,N/D,-,12m € - 110m €,-,-,145m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,14m € - 45m €,-,-,105m €
,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,52m €
Ret,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,8m €
,- - -,- -,30/6/2026,1.900 € p/m,N/D,N/D,-,35m € - 120m €,-,-,-
,- - -,- -,30/6/2025,1.900 € p/m,N/D,N/D,-,30m € - 100m €,-,-,85m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Julián Guillén,Sin datos,-,-,-
Ret,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,Aina Andreu,12m € - 120m €,-,-,59m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0 € - 100m €,-,-,82m €
,- - -,- -,30/6/2025,1.900 € p/m,N/D,N/D,-,8m € - 80m €,-,-,135m €
,- - -,- -,30/6/2026,2.400 € p/m,N/D,N/D,Santiago Berrocal,Sin datos,-,-,300m €
,- - -,- -,30/6/2027,5.250 € p/m,N/D,N/D,José Luis Ramos,"800m € - 8,2M €",-,-,"5,25M €"
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Ramón Siles,Sin datos,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,2m € - 20m €,-,-,55m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Iago Menéndez,Sin datos,-,-,-
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,110m € - 350m €,-,-,105m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,53m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Humberto Guijarro,Sin datos,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,"1,5m € - 16m €",-,-,150m €
,- - -,- -,30/6/2026,3.900 € p/m,N/D,N/D,José Antonio Corbacho,100m € - 1M €,-,-,275m €
Les,- - -,- -,30/6/2025,2.000 € p/m,N/D,N/D,-,55m € - 550m €,-,-,325m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Rodrigo Casanova,900m € - 2M €,-,-,-
,- - -,- -,30/6/2024,550 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2026,1.300 € p/m,N/D,N/D,Juan Antonio Yubero,Sin datos,-,-,115m €
,- - -,- -,30/6/2026,8.250 € p/m,N/D,N/D,-,275m € - 900m €,-,-,675m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Rodrigo Casanova,Sin datos,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0 € - 40m €,-,-,140m €
Seg,- - -,- -,30/6/2025,1.500 € p/m,N/D,N/D,Antonio Valiente,0€,-,-,200m €
,- - -,- -,30/6/2026,2.200 € p/m,N/D,N/D,-,20m € - 200m €,-,-,200m €
,- - -,- -,30/6/2026,13.000 € p/m,N/D,N/D,-,150m € - 475m €,-,-,145m €
,- - -,- -,30/6/2025,4.700 € p/m,N/D,N/D,Rodrigo Casanova,7m € - 65m €,-,-,165m €
Ret,- - -,- -,30/6/2024,700 € p/m,N/D,N/D,-,0€,-,-,-
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Juan Antonio Yubero,Sin datos,-,-,-
,- - -,- -,30/6/2025,3.600 € p/m,N/D,N/D,-,16m € - 160m €,-,-,92m €
Ctr,- - -,- -,-,N/D,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,115m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,-,Sin datos,-,-,-
,- - -,- -,30/6/2027,350 € p/m,N/D,N/D,Dolores Muñiz,Sin datos,-,-,6M €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,-,Sin datos,-,-,-
,- - -,- -,30/6/2024,600 € p/m,N/D,N/D,-,0€,-,-,-
