,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Club,Posición,Altura,Peso,Edad,Pierna buena,Personalidad,Conocimientos,Felicidad general,Media,Nac,RM,Estilo
- - -,Juv,Yadel,Las Palmas,DF (I),190 cm,69 kg,15,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Seg,Jon Yeabsera Landa,Real San Sebastián C,MP (DIC),185 cm,72 kg,19,Izquierda,,---,,6.62,ESP,Correcta,Físico
- - -,Juv,Salvador Gil,Leonesa,MP (I),188 cm,67 kg,15,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,Joan Miquel Puigoriol,Espanyol,MC,174 cm,60 kg,15,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,,Carlos Lumbreras,Atlético Pamplona B,DL (C),180 cm,73 kg,19,Derecha,,---,,7.47,ESP,Correcta,Inteligente
- - -,Juv,Enrique Bordón,Vallecano,DF (C),179 cm,64 kg,15,Sin datos,,---,,-,ESP,Correcta,Inteligente
- - -,,Dani González,Marbella,DL (C),188 cm,84 kg,18,Sin datos,,---,,6.67,ESP,Correcta,Técnico
- - -,,Alberto Morientes,Albacete,DL (C),185 cm,75 kg,18,Sin datos,,---,,-,ESP,Correcta,Inteligente
- - -,,Dani Atanes,R. Santander B,POR,196 cm,86 kg,22,Solo derecha,,---,,6.00,NED,Correcta,Guardameta
- - -,,Sergio Bernárdez,Ourense C.F.,DF/CR (D),184 cm,74 kg,19,Derecha,,---,,6.80,ESP,Correcta,Físico
- - -,,Hakim,U. Adarve,"MC, ME (C)",185 cm,76 kg,27,Derecha,,---,,6.52,ESP,Correcta,Técnico
- - -,,Eneko Ortiz,Alavés B,DF (I),170 cm,62 kg,21,Izquierda,,---,,-,ESP,Correcta,Inteligente
- - -,,Javi Pipa,U.D. San Fernando,DF/CR (D),168 cm,62 kg,21,Solo derecha,,---,,6.35,ESP,Correcta,Técnico
- - -,,Kevin Soeiro,Calahorra,DL (C),179 cm,73 kg,23,Derecha,,---,,6.50,ESP,Correcta,Físico
- - -,,Sergio Recio,Sevilla,POR,191 cm,78 kg,18,Sin datos,,---,,-,ESP,Correcta,Con autoridad
- - -,,Jorge Moreno,Sevilla,DF (D),191 cm,78 kg,18,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,Eduardo Gómez,Zaragoza,MP (D),172 cm,56 kg,15,Sin datos,,---,,-,ESP,Correcta,Líder
- - -,,Adrian Martínez,Ibiza,MC,180 cm,64 kg,16,Derecha,,---,,6.40,ESP,Correcta,Líder
- - -,,Joshua Farrell,Villanovense,DL (C),182 cm,73 kg,20,Derecha,,---,,6.73,WAL,Correcta,Inteligente
- - -,,Erik Bugarín,Coruxo,DL (C),175 cm,70 kg,21,Derecha,,---,,6.73,ESP,Correcta,Físico
- - -,,Adrián Motilva,Valladolid,DF/CR (D),177 cm,70 kg,18,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,,Álex Pérez,Villalbés,MP (DI),177 cm,68 kg,24,Izquierda,,---,,6.75,ESP,Correcta,Creativo
- - -,,Djakaria Barro,Cartagena B,ME (C),187 cm,76 kg,22,Derecha,,---,,6.66,CIV,Correcta,Físico
- - -,Juv,Viktor Berglund,Calahorra,MP (D),166 cm,54 kg,15,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,,Álex Mendoza,A.D. San Juan,DF (I),196 cm,84 kg,21,Izquierda,,---,,6.55,ESP,Correcta,Físico
- - -,,Dolapo Adebowale,Vélez C.F.,POR,188 cm,77 kg,19,Izquierda,,---,,6.65,NGA,Correcta,Distribuidor
- - -,Juv,Jesús Peralta,Mallorca,DF (C),184 cm,65 kg,15,Sin datos,,---,,-,ESP,Correcta,Inteligente
- - -,,Emi,Cacereño,DF (D),175 cm,70 kg,23,Solo derecha,,---,,-,ESP,Correcta,Físico
- - -,Juv,José María Ordóñez,Langreo,MP (C),182 cm,66 kg,15,Sin datos,,---,,-,ESP,Correcta,Líder
- - -,,Osman Abdul Sofyan,Atlético Paso,MP (DI),172 cm,62 kg,19,Sin datos,,---,,-,GHA,Correcta,Físico
- - -,Juv,Alexis,Burgos,POR,186 cm,68 kg,15,Sin datos,,---,,-,ESP,Correcta,Con autoridad
- - -,Juv,Yousef Al-Marri,Leonesa,POR,183 cm,64 kg,15,Sin datos,,---,,-,QAT,Correcta,Guardameta
- - -,Juv,Jorge,Valladolid,MP (D),183 cm,70 kg,16,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,Ofer,Cameron Sainte-Rose,Real Irún,ME/MP (D),175 cm,67 kg,21,Derecha,,---,,6.62,FRA,Correcta,Líder
- - -,,Fer Pérez,Valladolid B,POR,182 cm,72 kg,20,Derecha,,---,,-,ESP,Correcta,Con autoridad
- - -,Juv,Ángel,Huesca,MP (D),171 cm,56 kg,15,Sin datos,,---,,-,ESP,Correcta,Creativo
- - -,Juv,Benito,Málaga,MP (C),181 cm,65 kg,15,Sin datos,,---,,-,ESP,Correcta,Líder
- - -,,Fran García,Vélez C.F.,DL (C),175 cm,67 kg,22,Derecha,,---,,6.72,ESP,Correcta,Inteligente
- - -,Juv,Javi,Málaga,MP (I),173 cm,56 kg,15,Sin datos,,---,,-,ESP,Correcta,Creativo
- - -,,Jon Larrauri,Gernika,DF (D),185 cm,76 kg,22,Derecha,,---,,5.80,ESP,Correcta,Físico
- - -,,Sergio De Cea,Racing Cartagena,POR,183 cm,73 kg,19,Derecha,,---,,6.47,ESP,Correcta,Con autoridad
- - -,,Gorka San Nicolás,Gernika,POR,182 cm,70 kg,23,Derecha,,---,,6.80,ESP,Correcta,Guardameta
- - -,Juv,Antonio,S.D. Logroñés,DF (C),180 cm,64 kg,15,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,Iván Sánchez,Oviedo,DL (C),178 cm,63 kg,16,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,,Jesús Acuña,Sevilla,DL (C),187 cm,76 kg,17,Sin datos,,---,,-,ESP,Correcta,Inteligente
- - -,Juv,Juanqui Aguilar,Mérida,ME (I),167 cm,54 kg,15,Izquierda,,---,,-,ESP,Correcta,Técnico
- - -,Juv,Eduardo Pérez,Atlético Pamplona,DF (D),186 cm,68 kg,15,Sin datos,,---,,-,ESP,Correcta,Líder
- - -,Ctr,Maikol Márquez,Sant Andreu,POR,182 cm,68 kg,16,Sin datos,,---,,-,ESP,Correcta,Con autoridad
- - -,Juv,Adnan Alloush,Alcoyano,DL (C),178 cm,65 kg,16,Sin datos,,---,,-,ISR,Correcta,Líder
- - -,Juv,Alberto Ortells,Valencia,DL (C),191 cm,72 kg,16,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,,Pucho,Ourense C.F.,DF (C),187 cm,81 kg,18,Sin datos,,---,,6.80,ESP,Correcta,Inteligente
- - -,Les,Alberto Olea,Málaga,DF (C),178 cm,64 kg,15,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Ced,Hugo Campos,Mérida,ME (D),178 cm,73 kg,19,Solo derecha,,---,,-,ESP,Correcta,Técnico
- - -,Juv,Ignacio Pallarés,Coruña,DF (D),189 cm,70 kg,15,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,José Chamorro,Mérida,DL (C),177 cm,63 kg,16,Izquierda,,---,,-,ESP,Correcta,Físico
- - -,Juv,Javier Aranburu,Albacete,MP (D),156 cm,50 kg,15,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,Juv,Peter Pišek,Girona,DL (C),183 cm,63 kg,15,Sin datos,,---,,-,SVN,Correcta,Físico
- - -,Juv,Ekhi Gurrutxaga,Alavés,ME (C),157 cm,50 kg,16,Sin datos,,---,,-,ESP,Correcta,Inteligente
- - -,,Iker Galindo,Real San Sebastián C,POR,183 cm,76 kg,19,Derecha,,---,,-,ESP,Correcta,Con autoridad
- - -,Juv,Alberto Hernàndez,Córdoba,DL (C),180 cm,62 kg,15,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,Juv,Alberto Fernández,Vigo,DF (I),171 cm,58 kg,15,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,Juv,Juan Torres,Cartagena B,"MP (I), DL (C)",182 cm,65 kg,16,Izquierda,,---,,-,ESP,Correcta,Físico
- - -,Les,David García,Zaragoza B,DF (DC),187 cm,80 kg,18,Solo derecha,,---,,7.00,ESP,Correcta,Físico
- - -,,Francisco Javier Díez,Barakaldo,MP (C),178 cm,62 kg,16,Sin datos,,---,,-,ESP,Correcta,Creativo
- - -,,Rodri,Leganés,"MC, ME (C)",190 cm,77 kg,21,Derecha,,---,,-,ESP,Correcta,Inteligente
- - -,Juv,David,Intercity,POR,176 cm,58 kg,15,Sin datos,,---,,-,ESP,Correcta,Guardameta
- - -,Juv,Makhtar Diatta,Zaragoza,DF (I),173 cm,57 kg,15,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,,José Miguel,Fuenlabrada,"MP (C), DL (C)",187 cm,76 kg,16,Derecha,,---,,-,ESP,Correcta,Técnico
- - -,Seg,Manuel Barea,Marbella,DL (C),179 cm,63 kg,16,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,,Javier Silva,Navalcarnero,MP (D),174 cm,59 kg,16,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,Juv,Antonio,Talavera,MC,183 cm,65 kg,15,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,Juv,Juan Ibáñez,Vallecano,DL (C),173 cm,57 kg,15,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,Juv,Antonio Moreno,Ponferrada,DF (D),169 cm,54 kg,15,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,,Andrés Ortega,Vélez C.F.,ME (C),180 cm,72 kg,21,Derecha,,---,,6.67,ESP,Correcta,Líder
- - -,,Eduardo Santiago,Las Palmas,MC,177 cm,71 kg,18,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,Miguel Ángel Boedo,Ferrol,DL (C),194 cm,74 kg,16,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,Juv,Ángel Arcos,Vigo,DL (C),177 cm,64 kg,18,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,,Ukasyah Wallace,San Roque de Lepe,DF (C),188 cm,76 kg,26,Derecha,,---,,7.00,USA,Correcta,Inteligente
- - -,,Adri Delgado,Vélez C.F.,ME (C),180 cm,66 kg,22,Derecha,,---,,6.64,ESP,Correcta,Técnico
- - -,,Daniel Budesca,Villarreal,DF (D),184 cm,69 kg,18,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,,Ismael Escobar,Lugo,"DF (C), MC",183 cm,78 kg,20,Derecha,,---,,6.50,ESP,Correcta,Físico
- - -,,Mario Adot,A.D. San Juan,DF (C),188 cm,82 kg,22,Derecha,,---,,6.64,ESP,Correcta,Físico
- - -,,Álex Sánchez,Manresa,ME (C),173 cm,65 kg,24,Derecha,,---,,-,ESP,Correcta,Físico
- - -,Juv,Borja Paz,Melilla,MP (C),170 cm,57 kg,16,Sin datos,,---,,6.00,ESP,Correcta,Creativo
- - -,,Yeray,Vélez C.F.,ME (C),162 cm,56 kg,18,Sin datos,,---,,6.63,ESP,Correcta,Inteligente
- - -,Juv,Basilio,Alcoyano,ME (C),170 cm,55 kg,15,Sin datos,,---,,-,ESP,Correcta,Líder
- - -,,Víctor Armenteros,Huelva,DF (I),186 cm,75 kg,21,Solo izquierda,,---,,-,ESP,Correcta,Físico
- - -,,Gonzalo,Gernika,ME/MP (DI),176 cm,62 kg,23,Derecha,,---,,6.30,ESP,Correcta,Físico
- - -,,Diego Hernàndez,Zaragoza B,"MC, ME (C)",183 cm,77 kg,18,Derecha,,---,,6.70,ESP,Correcta,Físico
- - -,Juv,Jordi Prieto,Linares,DL (C),181 cm,62 kg,15,Izquierda,,---,,-,ESP,Correcta,Físico
- - -,,Abde,Vélez C.F.,ME/MP (D),181 cm,70 kg,18,Sin datos,,---,,6.56,ALG,Correcta,Técnico
- - -,Ced,Roman Pliushch,R. Majadahonda,"MC, ME (C)",187 cm,75 kg,19,Derecha,,---,,6.46,UKR,Correcta,Creativo
- - -,Juv,Henry Atangana,Langreo,MP (D),176 cm,59 kg,15,Sin datos,,---,,-,CMR,Correcta,Físico
- - -,,Mihai Buş,Ibiza,DF (DC),190 cm,73 kg,16,Derecha,,---,,-,ROU,Correcta,Técnico
- - -,Ced,Ian Forns,Espanyol B,DF (I),173 cm,64 kg,20,Izquierda,,---,,6.60,ESP,Correcta,Físico
- - -,Juv,Álvaro Llorens,Real Hispalis,DL (C),173 cm,60 kg,16,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,,Enrique Peña,Valladolid B,"ME (C), MP (DC)",171 cm,65 kg,19,Derecha,,---,,6.70,ESP,Correcta,Creativo
- - -,,Dani Cobo,R. Santander,ME/MP (C),183 cm,73 kg,18,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,,Iván Cagigas,R. Santander,POR,180 cm,76 kg,17,Sin datos,,---,,-,ESP,Correcta,Distribuidor
- - -,,David Barrios,Antoniano,"MC, ME (C), MP (I)",181 cm,70 kg,23,Izquierda,,---,,6.54,ESP,Correcta,Técnico
- - -,,Daniel Cosano,Vélez C.F.,ME/MP (C),164 cm,55 kg,20,Derecha,,---,,6.50,ESP,Correcta,Técnico
- - -,Juv,Raul Văduva,Huesca,ME/MP (I),171 cm,57 kg,16,Sin datos,,---,,-,ROU,Correcta,Técnico
- - -,,Javi Baldobar,U. Adarve,DL (C),184 cm,72 kg,19,Derecha,,---,,-,ESP,Correcta,Físico
- - -,,Iñaki Alberca,A.D. San Juan,ME/MP (I),172 cm,64 kg,20,Izquierda,,---,,6.99,ESP,Correcta,Técnico
- - -,Juv,Álvaro Boix,Elche,MP (C),182 cm,64 kg,16,Sin datos,,---,,-,ESP,Correcta,Líder
- - -,,Roberto Laurel,Alzira,ME (C),181 cm,73 kg,23,Izquierda,,---,,-,ESP,Correcta,Físico
- - -,,David Pérez,Real Hispalis,POR,187 cm,75 kg,18,Sin datos,,---,,-,ESP,Correcta,Distribuidor
- - -,Ced,Juan López,Zaragoza B,"MC, ME (C)",178 cm,74 kg,22,Derecha,,---,,6.95,ESP,Correcta,Inteligente
- - -,,Tomás,Vélez C.F.,"MP (I), DL (C)",180 cm,70 kg,22,Derecha,,---,,6.68,ESP,Correcta,Inteligente
- - -,Juv,Jon Delgado,Amorebieta,CR (I),176 cm,63 kg,16,Izquierda,,---,,-,ESP,Correcta,Físico
- - -,,Yago,Coruxo,DF (I),192 cm,79 kg,18,Sin datos,,---,,6.70,ESP,Correcta,Físico
- - -,Juv,José,R. Madrid,ME/MP (I),178 cm,61 kg,16,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,,San,Valladolid B,ME/MP (I),180 cm,67 kg,18,Izquierda,,---,,6.80,ESP,Correcta,Físico
- - -,Juv,Miguel Conde,Vigo,DL (C),182 cm,72 kg,18,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,Diego Ortiz,Oviedo,DF (C),178 cm,63 kg,16,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,,Tomás Inglés,U. Murcia,DL (C),188 cm,82 kg,20,Derecha,,---,,7.60,ESP,Correcta,Técnico
- - -,Juv,David Valle,A. Baleares,ME/MP (C),183 cm,64 kg,15,Derecha,,---,,-,ESP,Correcta,Líder
- - -,,Jesús,Teruel,MP (D),193 cm,72 kg,16,Derecha,,---,,-,ESP,Correcta,Líder
- - -,,Ale Briggs,Vélez C.F.,DL (C),189 cm,79 kg,21,Derecha,,---,,6.52,USA,Correcta,Inteligente
- - -,,Pimienta,Algeciras,DL (C),182 cm,73 kg,20,Derecha,,---,,6.55,ESP,Correcta,Inteligente
- - -,,Joan Castaño,Tudelano,DF (C),180 cm,73 kg,19,Izquierda,,---,,6.40,ECU,Correcta,Inteligente
- - -,,Álex Gómez,A.D. San Juan,ME (C),194 cm,83 kg,20,Derecha,,---,,6.29,ESP,Correcta,Físico
- - -,,Jorge García,La Unión At.,DF (C),178 cm,72 kg,23,Izquierda,,---,,6.56,ESP,Correcta,Líder
- - -,Juv,José Luis Vallejo,Burgos,DF (D),175 cm,62 kg,16,Sin datos,,---,,-,ECU,Correcta,Físico
- - -,Juv,Salifu Ceesay,Las Palmas,MP (I),172 cm,57 kg,15,Sin datos,,---,,-,GAM,Correcta,Técnico
- - -,,Íñigo Burusco,Egüés,ME/MP (I),179 cm,73 kg,21,Izquierda,,---,,6.88,ESP,Correcta,Técnico
- - -,Juv,François Petitjean,F.C. Andorra,DF (C),189 cm,72 kg,15,Sin datos,,---,,-,AND,Correcta,Líder
- - -,Juv,Gabriel Vázquez,Albacete,DL (C),171 cm,55 kg,15,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,Pedro Torres,Córdoba,DF (D),179 cm,62 kg,15,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,Carles Llorca,Ceuta,DL (C),184 cm,66 kg,16,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,Mikel Torres,Atlético Pamplona,MP (I),186 cm,65 kg,15,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,Manolo Ureña,Logroñés,DF (D),168 cm,55 kg,15,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,Juv,Yago Alcolea,Ponferrada,DF (C),193 cm,73 kg,15,Sin datos,,---,,-,ESP,Correcta,Líder
- - -,Ofer,Oriol,Ponferrada,ME (C),170 cm,61 kg,21,Derecha,,---,,-,ESP,Correcta,Creativo
- - -,,Sergio,Unionistas,MP (D),170 cm,57 kg,16,Derecha,,---,,-,ESP,Correcta,Creativo
- - -,,Carlos Jiménez,Levante,DF (C),196 cm,82 kg,17,Sin datos,,---,,-,ESP,Correcta,Inteligente
- - -,,Marc Aznar,Girona,DF (C),192 cm,82 kg,18,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,,Bəhruz Tanrıverdiyev,Montijo,ME (C),196 cm,88 kg,20,Derecha,,---,,6.62,AZE,Correcta,Técnico
- - -,Juv,Mauro Prado,Oviedo,ME (D),165 cm,52 kg,16,Sin datos,,---,,-,ESP,Correcta,Líder
- - -,Juv,Pepe Calatayud,Unionistas,MP (I),171 cm,60 kg,16,Solo izquierda,,---,,6.60,ESP,Correcta,Técnico
- - -,,Asier Gomes,Covadonga,MP (C),187 cm,77 kg,26,Solo derecha,,---,,6.54,ESP,Correcta,Técnico
- - -,Juv,Wang Jianyi,Cornellà,ME (C),172 cm,58 kg,16,Sin datos,,---,,-,CHN,Correcta,Líder
- - -,,Enric,Badalona Fut,MC,170 cm,56 kg,16,Sin datos,,---,,-,ESP,Correcta,Inteligente
- - -,Seg,Roger Ciuró,Espanyol B,"MC, ME (C)",171 cm,64 kg,19,Derecha,,---,,6.53,ESP,Correcta,Técnico
- - -,,Carlos,Gernika,DF (I),185 cm,75 kg,20,Izquierda,,---,,6.49,ESP,Correcta,Inteligente
- - -,Juv,Iván Rodríguez,Valladolid,DL (C),175 cm,56 kg,15,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,Javier Granell,Alcoyano,POR,180 cm,61 kg,15,Sin datos,,---,,-,ESP,Correcta,Con autoridad
- - -,Juv,Pablo Nicolau,Numantia,DF (C),189 cm,72 kg,15,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,,Manuel Molina,Mallorca,MP (I),165 cm,52 kg,16,Sin datos,,---,,-,ESP,Correcta,Líder
- - -,Juv,Ángel Villaverde,Valladolid,CR (I),167 cm,53 kg,15,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,,Eneko Peña,Eibar,POR,186 cm,70 kg,16,Sin datos,,---,,-,ESP,Correcta,Guardameta
- - -,,Sergio Lozano,Vallecano,DF (I),173 cm,67 kg,18,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,Martin Bissene,Levante,MP (D),169 cm,58 kg,16,Sin datos,,---,,-,CMR,Correcta,Líder
- - -,,Enrique Amores,Avilés,MP (C),185 cm,68 kg,16,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,Juv,Sergio Luján,Huesca,DF (C),179 cm,66 kg,16,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,Cristian Clavijo,Ceuta,MP (I),174 cm,58 kg,15,Sin datos,,---,,-,ESP,Correcta,Líder
- - -,Juv,Álex San José,Real San Sebastián,DF (D),173 cm,57 kg,15,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,Ioan Ileană,Cádiz,DL (C),172 cm,58 kg,16,Sin datos,,---,,-,ROU,Correcta,Físico
- - -,Juv,Nelson Ugwu,Levante,ME (C),175 cm,61 kg,15,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,Juv,Emil Džalo,Oviedo,MC,177 cm,64 kg,16,Sin datos,,---,,-,BIH,Correcta,Inteligente
- - -,,Kike Lafuente,Tudelano,POR,179 cm,63 kg,16,Sin datos,,---,,-,ESP,Correcta,Guardameta
- - -,,Pedro,Compostela,DF (D),168 cm,56 kg,16,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,Juv,Enric Gordo,Europa,DF (C),186 cm,68 kg,15,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,Juan Manuel Serna,Valladolid,ME (C),173 cm,59 kg,15,Sin datos,,---,,-,ESP,Correcta,Líder
- - -,Juv,Álex Roa,Avilés,DF (D),182 cm,62 kg,15,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Juv,Joan,Ferrol,DL (C),175 cm,63 kg,16,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,Juv,Ezequiel Bastidas,Linares,MP (C),173 cm,62 kg,16,Izquierda,,---,,6.63,COL,Correcta,Líder
- - -,,Miguel Acosta,La Nucía,CR/ME/MP (D),175 cm,74 kg,26,Solo derecha,,---,,6.77,ESP,Correcta,Técnico
- - -,Juv,Jhordan Cañizales,Alcorcón,POR,181 cm,64 kg,16,Sin datos,,---,,-,COL,Correcta,Guardameta
- - -,,José Ortega,A. Sagunto,POR,186 cm,77 kg,22,Derecha,,---,,6.71,ESP,Correcta,Guardameta
- - -,,Curro,Algeciras,"DF (C), MC",186 cm,78 kg,20,Derecha,,---,,6.35,ESP,Correcta,Inteligente
- - -,,Borja Martí,Yeclano,POR,182 cm,73 kg,20,Derecha,,---,,6.30,ESP,Correcta,Guardameta
- - -,Juv,Óscar Soto,R. Santander,DF (I),177 cm,61 kg,16,Sin datos,,---,,-,ESP,Correcta,Líder
- - -,Ofer,Diego Rosales,Mirandés,DF/CR (I),193 cm,81 kg,21,Izquierda,,---,,6.40,ESP,Correcta,Físico
- - -,,Pieter Emonds,Levante,MP (D),181 cm,67 kg,20,Derecha,,---,,7.10,BEL,Correcta,Inteligente
- - -,,Aritz Ortigosa,A. Bilbao,DF/CR (I),174 cm,63 kg,17,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,Ctr,Fermín García,Egüés,DL (C),182 cm,76 kg,20,Derecha,,---,,-,ESP,Correcta,Inteligente
- - -,,Hugo Gómez,Brea,ME (I),182 cm,72 kg,20,Izquierda,,---,,6.73,ESP,Correcta,Técnico
- - -,Seg,Luis Felipe,Cayón,DL (C),174 cm,59 kg,16,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,,Cayetano,Levante,POR,187 cm,75 kg,19,Sin datos,,---,,-,ESP,Correcta,Con autoridad
- - -,,Hugo Matos,Compostela,"ME (C), MP (DC)",182 cm,72 kg,20,Derecha,,---,,-,ESP,Correcta,Técnico
- - -,,Nacho Puente,S. Gijón,DL (C),183 cm,73 kg,17,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,,Noé Pérez,A. Madrid,ME/MP (C),169 cm,55 kg,17,Sin datos,,---,,-,ESP,Correcta,Inteligente
- - -,,Javier Martínez,Real Irún,DF (C),184 cm,73 kg,16,Izquierda,,---,,6.20,ESP,Correcta,Inteligente
- - -,,Daniel Cantero,Zaragoza,MP (D),163 cm,59 kg,18,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,,Adrian Garrido,Andratx,"MP (I), DL (C)",172 cm,66 kg,22,Izquierda,,---,,6.48,EQG,Correcta,Técnico
- - -,Ced,Hugo Redón,Levante,"MC, ME (C)",179 cm,74 kg,21,Derecha,,---,,-,ESP,Correcta,Inteligente
- - -,,Dani,Sanluqueño,DF (C),181 cm,66 kg,16,Derecha,,---,,-,ESP,Correcta,Técnico
- - -,,Álex Comparada,Logroñés,DL (C),186 cm,77 kg,20,Derecha,,---,,-,ESP,Correcta,Físico
- - -,,Zaki,Montijo,"MP (DI), DL (C)",183 cm,74 kg,21,Derecha,,---,,6.53,ESP,Correcta,Técnico
- - -,,Gonzalo,Valladolid B,POR,193 cm,83 kg,18,Derecha,,---,,-,ESP,Correcta,Guardameta
- - -,,Cheick Djitèye,Mérida,"MC, ME (C)",178 cm,67 kg,16,Derecha,,---,,-,ESP,Correcta,Técnico
- - -,Seg,Adrián Zango,Real San Sebastián,POR,189 cm,76 kg,18,Sin datos,,---,,-,ESP,Correcta,Con autoridad
- - -,,Pedro Mula,A. Madrid,DF (C),176 cm,67 kg,19,Sin datos,,---,,-,ESP,Correcta,Inteligente
- - -,Juv,Aureli Artiga,Sabadell,POR,186 cm,68 kg,15,Sin datos,,---,,-,ESP,Correcta,Con autoridad
- - -,,Pedro,Oviedo,ME (C),173 cm,62 kg,17,Sin datos,,---,,-,ESP,Correcta,Físico
- - -,,Jon Trincado,A. Getxo,ME (C),173 cm,67 kg,24,Derecha,,---,,-,ESP,Correcta,Líder
- - -,,Marcos Lopes,Oviedo B,DF (I),182 cm,72 kg,18,Solo izquierda,,---,,6.80,ESP,Correcta,Físico
- - -,,Sergio Banzo,Mutilvera,DL (C),189 cm,82 kg,21,Derecha,,---,,6.44,ESP,Correcta,Técnico
- - -,,Carlos Soroa,Mutilvera,ME/MP (C),194 cm,81 kg,26,Derecha,,---,,6.47,ESP,Correcta,Físico
- - -,Juv,Álex Montero,Vigo,ME (C),176 cm,69 kg,18,Sin datos,,---,,-,ESP,Correcta,Inteligente
- - -,,Alonso Bragado,Getafe B,DF (D),172 cm,65 kg,18,Solo derecha,,---,,6.30,ESP,Correcta,Inteligente
- - -,,Dani Martín,Las Palmas,ME/MP (C),166 cm,53 kg,16,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,,Vicente Antuña,Oviedo B,"MC, ME (C)",174 cm,67 kg,19,Derecha,,---,,6.60,ESP,Correcta,Inteligente
- - -,Juv,Jorge Candal,Lugo,POR,189 cm,73 kg,18,Sin datos,,---,,-,ESP,Correcta,Guardameta
- - -,Les,Diego,Las Palmas,DF (C),179 cm,70 kg,17,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,,Valentino Raca,Las Palmas,DF (C),185 cm,71 kg,18,Sin datos,,---,,-,ESP,Correcta,Técnico
- - -,Juv,Jon Arregi,Amorebieta,DL (C),197 cm,77 kg,16,Izquierda,,---,,5.90,ESP,Correcta,Inteligente
- - -,,Marc Monedero,Mallorca,POR,190 cm,80 kg,19,Sin datos,,---,,-,ESP,Correcta,Con autoridad
- - -,,Carlos Boga,Las Palmas,POR,186 cm,75 kg,19,Sin datos,,---,,-,ESP,Correcta,Guardameta
- - -,Juv,Rubén,Melilla,MP (D),179 cm,60 kg,15,Derecha,,---,,-,ESP,Correcta,Técnico
- - -,,Samu Expósito,R. Majadahonda,ME/MP (C),166 cm,65 kg,19,Derecha,,---,,6.40,ESP,Correcta,Técnico
- - -,,Gonzalo,Linares,ME/MP (C),171 cm,65 kg,20,Solo derecha,,---,,6.53,ESP,Correcta,Técnico
- - -,Juv,Alberto Enguix,Orihuela,DF (C),188 cm,69 kg,15,Sin datos,,---,,-,ESP,Correcta,Técnico
